,area_text,geographic_level,state_code,geoid,year,local_area_unemployment,national_unemployment_rate_prev_year
280,"Russell County, AL",county,01,113,2010,10.7,9.3
281,"Russell County, AL",county,01,113,2011,10.2,9.6
282,"Russell County, AL",county,01,113,2012,9.0,8.9
283,"Russell County, AL",county,01,113,2013,7.4,8.1
284,"Russell County, AL",county,01,113,2014,6.5,7.4
285,"St. Clair County, AL",county,01,115,2010,10.0,9.3
286,"St. Clair County, AL",county,01,115,2011,8.7,9.6
287,"St. Clair County, AL",county,01,115,2012,7.0,8.9
288,"St. Clair County, AL",county,01,115,2013,6.2,8.1
289,"St. Clair County, AL",county,01,115,2014,5.7,7.4
290,"Shelby County, AL",county,01,117,2010,7.0,9.3
291,"Shelby County, AL",county,01,117,2011,6.2,9.6
292,"Shelby County, AL",county,01,117,2012,5.2,8.9
293,"Shelby County, AL",county,01,117,2013,4.7,8.1
294,"Shelby County, AL",county,01,117,2014,4.5,7.4
295,"Sumter County, AL",county,01,119,2010,13.1,9.3
296,"Sumter County, AL",county,01,119,2011,13.0,9.6
297,"Sumter County, AL",county,01,119,2012,10.7,8.9
298,"Sumter County, AL",county,01,119,2013,9.2,8.1
299,"Sumter County, AL",county,01,119,2014,8.4,7.4
300,"Talladega County, AL",county,01,121,2010,13.2,9.3
301,"Talladega County, AL",county,01,121,2011,11.5,9.6
302,"Talladega County, AL",county,01,121,2012,9.6,8.9
303,"Talladega County, AL",county,01,121,2013,8.7,8.1
304,"Talladega County, AL",county,01,121,2014,7.7,7.4
305,"Tallapoosa County, AL",county,01,123,2010,12.9,9.3
306,"Tallapoosa County, AL",county,01,123,2011,11.3,9.6
307,"Tallapoosa County, AL",county,01,123,2012,8.8,8.9
308,"Tallapoosa County, AL",county,01,123,2013,8.2,8.1
309,"Tallapoosa County, AL",county,01,123,2014,7.5,7.4
310,"Tuscaloosa County, AL",county,01,125,2010,9.1,9.3
311,"Tuscaloosa County, AL",county,01,125,2011,8.3,9.6
312,"Tuscaloosa County, AL",county,01,125,2012,7.2,8.9
313,"Tuscaloosa County, AL",county,01,125,2013,6.5,8.1
314,"Tuscaloosa County, AL",county,01,125,2014,5.9,7.4
315,"Walker County, AL",county,01,127,2010,12.5,9.3
316,"Walker County, AL",county,01,127,2011,11.2,9.6
317,"Walker County, AL",county,01,127,2012,9.4,8.9
318,"Walker County, AL",county,01,127,2013,8.6,8.1
319,"Walker County, AL",county,01,127,2014,7.9,7.4
320,"Washington County, AL",county,01,129,2010,13.9,9.3
321,"Washington County, AL",county,01,129,2011,14.4,9.6
322,"Washington County, AL",county,01,129,2012,12.2,8.9
323,"Washington County, AL",county,01,129,2013,11.0,8.1
324,"Washington County, AL",county,01,129,2014,9.5,7.4
325,"Wilcox County, AL",county,01,131,2010,25.8,9.3
326,"Wilcox County, AL",county,01,131,2011,22.9,9.6
327,"Wilcox County, AL",county,01,131,2012,20.4,8.9
328,"Wilcox County, AL",county,01,131,2013,19.5,8.1
329,"Wilcox County, AL",county,01,131,2014,16.8,7.4
330,"Winston County, AL",county,01,133,2010,15.7,9.3
331,"Winston County, AL",county,01,133,2011,13.4,9.6
332,"Winston County, AL",county,01,133,2012,10.2,8.9
333,"Winston County, AL",county,01,133,2013,9.5,8.1
334,"Winston County, AL",county,01,133,2014,8.6,7.4
335,"Aleutians East Borough, AK",county,02,013,2010,5.8,9.3
336,"Aleutians East Borough, AK",county,02,013,2011,6.3,9.6
337,"Aleutians East Borough, AK",county,02,013,2012,6.9,8.9
338,"Aleutians East Borough, AK",county,02,013,2013,6.1,8.1
339,"Aleutians East Borough, AK",county,02,013,2014,4.4,7.4
340,"Aleutians West Census Area, AK",county,02,016,2010,5.2,9.3
341,"Aleutians West Census Area, AK",county,02,016,2011,6.0,9.6
342,"Aleutians West Census Area, AK",county,02,016,2012,7.0,8.9
343,"Aleutians West Census Area, AK",county,02,016,2013,6.9,8.1
344,"Aleutians West Census Area, AK",county,02,016,2014,4.7,7.4
345,"Anchorage Borough/municipality, AK",county,02,020,2010,6.8,9.3
346,"Anchorage Borough/municipality, AK",county,02,020,2011,6.1,9.6
347,"Anchorage Borough/municipality, AK",county,02,020,2012,5.4,8.9
348,"Anchorage Borough/municipality, AK",county,02,020,2013,5.2,8.1
349,"Anchorage Borough/municipality, AK",county,02,020,2014,5.1,7.4
350,"Bethel Census Area, AK",county,02,050,2010,15.1,9.3
351,"Bethel Census Area, AK",county,02,050,2011,15.3,9.6
352,"Bethel Census Area, AK",county,02,050,2012,15.6,8.9
353,"Bethel Census Area, AK",county,02,050,2013,16.2,8.1
354,"Bethel Census Area, AK",county,02,050,2014,15.8,7.4
355,"Bristol Bay Borough, AK",county,02,060,2010,10.1,9.3
356,"Bristol Bay Borough, AK",county,02,060,2011,9.1,9.6
357,"Bristol Bay Borough, AK",county,02,060,2012,10.0,8.9
358,"Bristol Bay Borough, AK",county,02,060,2013,9.0,8.1
359,"Bristol Bay Borough, AK",county,02,060,2014,7.9,7.4
360,"Denali Borough, AK",county,02,068,2010,12.3,9.3
361,"Denali Borough, AK",county,02,068,2011,14.0,9.6
362,"Denali Borough, AK",county,02,068,2012,13.9,8.9
363,"Denali Borough, AK",county,02,068,2013,12.6,8.1
364,"Denali Borough, AK",county,02,068,2014,10.2,7.4
365,"Dillingham Census Area, AK",county,02,070,2010,10.5,9.3
366,"Dillingham Census Area, AK",county,02,070,2011,10.8,9.6
367,"Dillingham Census Area, AK",county,02,070,2012,10.0,8.9
368,"Dillingham Census Area, AK",county,02,070,2013,10.2,8.1
369,"Dillingham Census Area, AK",county,02,070,2014,9.9,7.4
370,"Fairbanks North Star Borough, AK",county,02,090,2010,6.9,9.3
371,"Fairbanks North Star Borough, AK",county,02,090,2011,6.6,9.6
372,"Fairbanks North Star Borough, AK",county,02,090,2012,6.2,8.9
373,"Fairbanks North Star Borough, AK",county,02,090,2013,5.9,8.1
374,"Fairbanks North Star Borough, AK",county,02,090,2014,5.7,7.4
375,"Haines Borough, AK",county,02,100,2010,11.0,9.3
376,"Haines Borough, AK",county,02,100,2011,10.2,9.6
377,"Haines Borough, AK",county,02,100,2012,10.1,8.9
378,"Haines Borough, AK",county,02,100,2013,10.1,8.1
379,"Haines Borough, AK",county,02,100,2014,10.6,7.4
380,"Hoonah-Angoon Census Area, AK",county,02,105,2010,14.5,9.3
381,"Hoonah-Angoon Census Area, AK",county,02,105,2011,15.4,9.6
382,"Hoonah-Angoon Census Area, AK",county,02,105,2012,14.6,8.9
383,"Hoonah-Angoon Census Area, AK",county,02,105,2013,14.7,8.1
384,"Hoonah-Angoon Census Area, AK",county,02,105,2014,14.9,7.4
385,"Juneau Borough/city, AK",county,02,110,2010,6.1,9.3
386,"Juneau Borough/city, AK",county,02,110,2011,5.7,9.6
387,"Juneau Borough/city, AK",county,02,110,2012,5.2,8.9
388,"Juneau Borough/city, AK",county,02,110,2013,5.1,8.1
389,"Juneau Borough/city, AK",county,02,110,2014,5.0,7.4
390,"Kenai Peninsula Borough, AK",county,02,122,2010,10.3,9.3
391,"Kenai Peninsula Borough, AK",county,02,122,2011,9.7,9.6
392,"Kenai Peninsula Borough, AK",county,02,122,2012,8.8,8.9
393,"Kenai Peninsula Borough, AK",county,02,122,2013,8.1,8.1
394,"Kenai Peninsula Borough, AK",county,02,122,2014,7.7,7.4
395,"Ketchikan Gateway Borough, AK",county,02,130,2010,9.1,9.3
396,"Ketchikan Gateway Borough, AK",county,02,130,2011,8.8,9.6
397,"Ketchikan Gateway Borough, AK",county,02,130,2012,8.3,8.9
398,"Ketchikan Gateway Borough, AK",county,02,130,2013,7.9,8.1
399,"Ketchikan Gateway Borough, AK",county,02,130,2014,7.7,7.4
