,area_title,geographic_level,State,msa_name,geoid,percent_fossil_employees,meets_fossil_threshold,local_area_unemployment,national_unemployment_rate_prev_year,meets_unemployment_criteria
1216,"Marion County, Illinois",county,Illinois,East Central Illinois nonmetropolitan area,17121,2.0563358423217193,1,7.7,7.4,1
1217,"Marion County, Illinois",county,Illinois,East Central Illinois nonmetropolitan area,17121,1.7932733010082351,1,6.8,6.2,1
1218,"Marion County, Illinois",county,Illinois,East Central Illinois nonmetropolitan area,17121,1.6652400591393663,1,6.4,5.3,1
1219,"Marion County, Illinois",county,Illinois,East Central Illinois nonmetropolitan area,17121,1.6760212036170876,1,5.2,4.9,1
1220,"Marion County, Illinois",county,Illinois,East Central Illinois nonmetropolitan area,17121,1.6150220230275867,1,4.9,4.4,1
1221,"Marion County, Illinois",county,Illinois,East Central Illinois nonmetropolitan area,17121,1.5990064425987736,1,4.2,3.9,1
1222,"Marion County, Illinois",county,Illinois,East Central Illinois nonmetropolitan area,17121,1.6215312604480108,1,9.4,3.7,1
1266,"White County, Illinois",county,Illinois,South Illinois nonmetropolitan area,17193,5.015377336172226,1,6.6,5.3,1
1270,"White County, Illinois",county,Illinois,South Illinois nonmetropolitan area,17193,6.169598319768968,1,7.9,3.7,1
1296,"New Madrid County, Missouri",county,Missouri,Southeast Missouri nonmetropolitan area,29143,0.7599402904057538,1,9.9,9.3,1
1297,"New Madrid County, Missouri",county,Missouri,Southeast Missouri nonmetropolitan area,29143,0.7892550540016616,1,9.9,9.6,1
1300,"New Madrid County, Missouri",county,Missouri,Southeast Missouri nonmetropolitan area,29143,0.8152173913043478,1,7.5,7.4,1
1301,"New Madrid County, Missouri",county,Missouri,Southeast Missouri nonmetropolitan area,29143,0.7729211087420043,1,6.3,6.2,1
1302,"New Madrid County, Missouri",county,Missouri,Southeast Missouri nonmetropolitan area,29143,0.8204057279236278,1,9.3,5.3,1
1303,"New Madrid County, Missouri",county,Missouri,Southeast Missouri nonmetropolitan area,29143,0.9452660466534533,1,6.6,4.9,1
1304,"New Madrid County, Missouri",county,Missouri,Southeast Missouri nonmetropolitan area,29143,0.9002468418759982,1,4.7,4.4,1
1305,"New Madrid County, Missouri",county,Missouri,Southeast Missouri nonmetropolitan area,29143,0.7352941176470588,1,4.1,3.9,1
1306,"New Madrid County, Missouri",county,Missouri,Southeast Missouri nonmetropolitan area,29143,0.7024179386735108,1,5.8,3.7,1
1434,"Grimes County, Texas",county,Texas,Hill Country Region of Texas nonmetropolitan area,48185,3.602203701087724,1,6.6,5.3,1
1435,"Grimes County, Texas",county,Texas,Hill Country Region of Texas nonmetropolitan area,48185,3.4625840606667624,1,5.4,4.9,1
1437,"Grimes County, Texas",county,Texas,Hill Country Region of Texas nonmetropolitan area,48185,1.6814635458703253,1,4.0,3.9,1
1438,"Grimes County, Texas",county,Texas,Hill Country Region of Texas nonmetropolitan area,48185,0.9424532343281451,1,8.1,3.7,1
1462,"Throckmorton County, Texas",county,Texas,West Texas Region of Texas nonmetropolitan area,48447,7.474226804123711,1,4.7,3.7,1
1566,"Eastland County, Texas",county,Texas,North Texas Region of Texas nonmetropolitan area,48133,7.0178086326592215,1,5.5,5.3,1
1570,"Eastland County, Texas",county,Texas,North Texas Region of Texas nonmetropolitan area,48133,4.098360655737705,1,6.7,3.7,1
1750,"Holmes County, Ohio",county,Ohio,North Northeastern Ohio nonmetropolitan area (noncontiguous),39075,0.19382810507523593,1,3.9,3.7,1
1817,"Pleasants County, West Virginia",county,West Virginia,Northern West Virginia nonmetropolitan area,54073,0.9275163174166953,1,8.3,6.2,1
